word	phones	count
cómprate	kompRate	63.5
cómpratela	kompRatela	2
cómpratelo	kompRatelo	3
compraventa	kompRaBenta	8
compraventas	kompRaBentas	5
compre	kompRe	403
compré	kompRe	1974
cómprela	kompRela	2
cómprele	kompRele	5
cómpreles	kompReles	2
cómprelo	kompRelo	8
cómpreme	kompReme	5
compremos	kompRemos	69
compren	kompRen	154
comprenda	kompRenda	118
compréndalo	kompRendalo	5
comprendamos	kompRendamos	13
comprendan	kompRendan	39
compréndanlo	kompRendanlo	2
comprendas	kompRendas	79
comprende	kompRende	485
compréndela	kompRendela	4
compréndelo	kompRendelo	9
comprendemos	kompRendemos	62
comprenden	kompRenden	158
comprender	kompRendeR	665
comprenderá	kompRendeRa	75
comprenderán	kompRendeRan	22
comprenderás	kompRendeRas	61
comprenderé	kompRendeRe	24
comprenderemos	kompRendeRemos	6
comprendería	kompRendeRia	30
comprenderías	kompRendeRias	15
comprenderla	kompRendeRla	11
comprenderlas	kompRendeRlas	5
comprenderlo	kompRendeRlo	127
comprenderlos	kompRendeRlos	4
comprenderme	kompRendeRme	11.5
comprendernos	kompRendeRnos	3
comprenderte	kompRendeRte	15
comprendes	kompRendes	730
comprendí	kompRendi	178
comprendía	kompRendia	45
comprendíamos	kompRendiamos	2
comprendían	kompRendian	4
comprendías	kompRendias	6
comprendida	kompRendiDa	6
comprendido	kompRendiDo	339
comprendidos	kompRendiDos	4
comprendiendo	kompRendjendo	19
comprendiéndolo	kompRendjendolo	2
comprendiera	kompRendjeRa	8
comprendieras	kompRendjeRas	10
comprendieron	kompRendjeRon	21
comprendiese	kompRendjese	2
comprendimos	kompRendimos	19
comprendió	kompRendjo	97
comprendiste	kompRendiste	38
comprendo	kompRendo	1585
cómprenlo	kompRenlo	5
cómprense	kompRense	4
comprensible	kompRensiBle	183
comprensiblemente	kompRensiBlemente	8
comprensibles	kompRensiBles	6
comprensión	kompRensjon	219
comprensiva	kompRensiBa	123
comprensivo	kompRensiBo	144
comprensivos	kompRensiBos	22
compres	kompRes	142
compresa	kompResa	11
compresas	kompResas	13
cómprese	kompRese	17
compresible	kompResiBle	5
compresión	kompResjon	33
compresiones	kompResjones	17
compresiva	kompResiBa	5
compresor	kompResoR	22
compresores	kompResoRes	5
comprime	kompRime	9
comprimen	kompRimen	2
comprimida	kompRimiDa	10
comprimidas	kompRimiDas	4
comprimido	kompRimiDo	41
comprimidos	kompRimiDos	8
comprimiendo	kompRimjendo	4
comprimió	kompRimjo	2
comprimir	kompRimiR	11
compro	kompRo	491
compró	kompRo	1283
comprobaba	kompRoBaBa	8
comprobable	kompRoBaBle	2
comprobables	kompRoBaBles	2
comprobación	kompRoBasjon	34
comprobad	kompRoBad	8
comprobada	kompRoBaDa	15
comprobado	kompRoBaDo	170
comprobadora	kompRoBaDoRa	2
comprobados	kompRoBaDos	13
comprobamos	kompRoBamos	33
comprobando	kompRoBando	87
comprobándolo	kompRoBandolo	2
comprobante	kompRoBante	14
comprobantes	kompRoBantes	10
comprobar	kompRoBaR	312
comprobara	kompRoBaRa	5
comprobará	kompRoBaRa	6
comprobáramos	kompRoBaRamos	2
comprobaran	kompRoBaRan	3
comprobaré	kompRoBaRe	43
comprobaremos	kompRoBaRemos	13
comprobaría	kompRoBaRia	2
comprobarlas	kompRoBaRlas	4
comprobarlo	kompRoBaRlo	141
comprobarlos	kompRoBaRlos	2
comprobaron	kompRoBaRon	13
comprobarse	kompRoBaRse	6
comprobaste	kompRoBaste	17
comprobé	kompRoBe	87
comprobemos	kompRoBemos	14
comprobó	kompRoBo	47
comprometa	kompRometa	40
comprometamos	kompRometamos	2
comprometan	kompRometan	11
comprométanse	kompRometanse	2
comprometas	kompRometas	24
compromete	kompRomete	46
comprometedor	kompRometeDoR	12
comprometedora	kompRometeDoRa	20
comprometedoras	kompRometeDoRas	10
comprometedores	kompRometeDoRes	3
compromételo	kompRometelo	2
comprometemos	kompRometemos	19
comprometen	kompRometen	15
comprometer	kompRometeR	111
comprometerá	kompRometeRa	14
comprometerán	kompRometeRan	3
comprometerás	kompRometeRas	3
comprometeré	kompRometeRe	7
comprometeremos	kompRometeRemos	5
comprometería	kompRometeRia	13
comprometeríamos	kompRometeRiamos	2
comprometerías	kompRometeRias	5
comprometerla	kompRometeRla	3
comprometerlo	kompRometeRlo	7
comprometerme	kompRometeRme	56
comprometernos	kompRometeRnos	24
comprometerse	kompRometeRse	82
comprometerte	kompRometeRte	52
comprometes	kompRometes	38
comprometés	kompRometes	2
comprométete	kompRometete	5
comprometí	kompRometi	61
comprometida	kompRometiDa	426
comprometidas	kompRometiDas	27
comprometido	kompRometiDo	456
comprometidos	kompRometiDos	284
comprometiendo	kompRometjendo	31
comprometiéndonos	kompRometjendonos	3
comprometiendose	kompRometjendose	2
comprometiéndote	kompRometjendote	2
comprometiéramos	kompRometjeRamos	3
comprometieras	kompRometjeRas	4
comprometieron	kompRometjeRon	29
comprometimos	kompRometimos	44
comprometió	kompRometjo	75
comprometiste	kompRometiste	40
comprometo	kompRometo	34
compromiso	kompRomiso	1271
compromisos	kompRomisos	191
comprueba	kompRueBa	134
compruébala	kompRueBala	2
compruébalo	kompRueBalo	51
comprueban	kompRueBan	7
compruebas	kompRueBas	11
compruebe	kompRueBe	46
compruébelo	kompRueBelo	10
comprueben	kompRueBen	39
compruébenlo	kompRueBenlo	10
compruebes	kompRueBes	8
compruebo	kompRueBo	18
compuerta	kompweRta	72
compuertas	kompweRtas	45
compuesta	kompwesta	59
compuestas	kompwestas	11
compuesto	kompwesto	197
compuestos	kompwestos	55
compulsión	kompulsjon	38
compulsiones	kompulsjones	5
compulsiva	kompulsiBa	41
compulsivamente	kompulsiBamente	17
compulsivas	kompulsiBas	6
compulsivo	kompulsiBo	75
compulsivos	kompulsiBos	8
compuse	kompuse	31
compusimos	kompusimos	3
compuso	kompuso	81
computa	komputa	2
computación	komputasjon	126
computada	komputaDa	13
computador	komputaDoR	40
computadora	komputaDoRa	2621
computadoras	komputaDoRas	707
computadores	komputaDoRes	20
computados	komputaDos	2
computar	komputaR	2
computarizados	komputaRisaDos	11
computer	komputeR	25
computerizada	komputeRisaDa	19
computerizado	komputeRisaDo	23
cómputo	komputo	7
cómputos	komputos	4
comulga	komulGa	2
comulgar	komulGaR	13
comulgué	komulGe	8
común	komun	3011
comuna	komuna	40
comunal	komunal	18
comunas	komunas	2
comunes	komunes	405
comunica	komunika	89
comunicaba	komunikaBa	18
comunicábamos	komunikaBamos	3
comunicaban	komunikaBan	8
comunicación	komunikasjon	881
comunicaciones	komunikasjones	563
comunicada	komunikaDa	6
comunicadas	komunikaDas	13
comunicado	komunikaDo	271
comunicador	komunikaDoR	68
comunicadora	komunikaDoRa	3
comunicadores	komunikaDoRes	14
comunicados	komunikaDos	50
comunícala	komunikala	13
comunícales	komunikales	2
comunícalo	komunikalo	17
comunícalos	komunikalos	3
comunícame	komunikame	158
comunicamos	komunikamos	44
comunican	komunikan	56
comunicando	komunikando	48
comunicándolos	komunikandolos	2
comunicándome	komunikandome	6
comunicándonos	komunikandonos	11
comunicándose	komunikandose	11
comunicándote	komunikandote	5
comunicar	komunikaR	127
comunicara	komunikaRa	12
comunicará	komunikaRa	24
comunicarán	komunikaRan	9
comunicaras	komunikaRas	2
comunicarás	komunikaRas	2
comunicaré	komunikaRe	94
comunicaremos	komunikaRemos	30
comunicaría	komunikaRia	5
comunicarle	komunikaRle	30
comunicarles	komunikaRles	16
comunicarlo	komunikaRlo	12
comunicarme	komunikaRme	264
comunicármelo	komunikaRmelo	4
comunicarnos	komunikaRnos	151
comunicaron	komunikaRon	14
comunicarse	komunikaRse	335
comunicarte	komunikaRte	97
comunicas	komunikas	25
comunícaselo	komunikaselo	3
comunicaste	komunikaste	37
comunícate	komunikate	46
comunicativo	komunikatiBo	19
comunicativos	komunikatiBos	4
comunico	komuniko	104
comunicó	komuniko	110
comunidad	komuniDad	1354
comunidades	komuniDaDes	95
comunión	komunjon	121
comunique	komunike	46
comuniqué	komunike	40
comuníquela	komunikela	2
comuníquelo	komunikelo	4
comuníqueme	komunikeme	80
comuniquémonos	komunikemonos	2
comuniquen	komuniken	7
comuníquenlo	komunikenlo	3
comuníquenme	komunikenme	13
comuniques	komunikes	16
comuníquese	komunikese	20
comunismo	komunismo	105
comunista	komunista	328
comunistas	komunistas	220
comunitaria	komunitaRja	53
comunitarias	komunitaRjas	3
comunitario	komunitaRjo	228
comunitarios	komunitaRjos	29
comúnmente	komunmente	52
con	kon	298417
concebible	konseBiBle	22
concebida	konseBiDa	33
concebidas	konseBiDas	6
concebido	konseBiDo	56
concebidos	konseBiDos	6
concebimos	konseBimos	9
concebir	konseBiR	103
concebirá	konseBiRa	4
concebirlo	konseBiRlo	4
concebirse	konseBiRse	2
concebiste	konseBiste	4
conceda	konseDa	31
concédame	konseDame	12
concedámosle	konseDamosle	2
concedan	konseDan	11
concédanme	konseDanme	4
concedas	konseDas	11
concede	konseDe	97
concédele	konseDele	13
concédeme	konseDeme	38
concedemos	konseDemos	13
conceden	konseDen	24
concédenos	konseDenos	13
conceder	konseDeR	53
concederá	konseDeRa	24
concederás	konseDeRas	4
concederé	konseDeRe	28
concederemos	konseDeRemos	3
concedería	konseDeRia	12
concederías	konseDeRias	4
concederle	konseDeRle	29
concederles	konseDeRles	6
concederme	konseDeRme	32
concederse	konseDeRse	3
concedérselo	konseDeRselo	3
concederte	konseDeRte	18
concedértelo	konseDeRtelo	3
concedes	konseDes	17
concedí	konseDi	13
concedía	konseDia	7
concedida	konseDiDa	26
concedido	konseDiDo	200
concedidos	konseDiDos	5
concediendo	konseDjendo	6
concediera	konseDjeRa	6
concedieran	konseDjeRan	12
concedieron	konseDjeRon	20
concediese	konseDjese	2
concedió	konseDjo	46
concedo	konseDo	59
concejal	konsexal	157
concejala	konsexala	5
concejales	konsexales	30
concejo	konsexo	95
concejos	konsexos	5
concentra	konsentRa	61
concentraba	konsentRaBa	16
concentrabas	konsentRaBas	3
concentración	konsentRasjon	380
concentraciones	konsentRasjones	12
concentrada	konsentRaDa	93
concentrado	konsentRaDo	215
concentrador	konsentRaDoR	4
concentrados	konsentRaDos	55
concéntrala	konsentRala	2
concentramos	konsentRamos	51
concentran	konsentRan	22
concentrando	konsentRando	44
concentrándome	konsentRandome	6
concentrándonos	konsentRandonos	7
concentrándose	konsentRandose	8
concentrándote	konsentRandote	4
concentraos	konsentRaos	2
concentrar	konsentRaR	102
concentrara	konsentRaRa	14
concentrará	konsentRaRa	7
concentraran	konsentRaRan	2
concentrarán	konsentRaRan	5
concentraras	konsentRaRas	7
concentrarás	konsentRaRas	2
concentraré	konsentRaRe	23
concentraremos	konsentRaRemos	17
concentraría	konsentRaRia	5
concentrarme	konsentRaRme	339
concentrarnos	konsentRaRnos	168
concentraron	konsentRaRon	6
concentrarse	konsentRaRse	143
concentrarte	konsentRaRte	214
concentras	konsentRas	50
concentraste	konsentRaste	5
concéntrate	konsentRate	639
concentre	konsentRe	48
concentré	konsentRe	30
concentrémonos	konsentRemonos	97
concentremos	konsentRemos	13
concentren	konsentRen	20
concéntrense	konsentRense	72
concentres	konsentRes	73
concéntrese	konsentRese	56
concéntricos	konsentRikos	8
concentro	konsentRo	41
concentró	konsentRo	12
concepción	konsepsjon	86
concepciones	konsepsjones	4
concepto	konsepto	604
conceptos	konseptos	69
conceptual	konseptwal	31
conceptuales	konseptwales	4
conceptualizar	konseptwalisaR	3
concerniente	konseRnjente	36
concernientes	konseRnjentes	16
concertada	konseRtaDa	7
concertado	konseRtaDo	15
concertamos	konseRtamos	7
concertar	konseRtaR	44
concertaré	konseRtaRe	4
concertarle	konseRtaRle	2
concertaron	konseRtaRon	4
concertaste	konseRtaste	3
concerté	konseRte	12
concertista	konseRtista	16
concertó	konseRto	16
concesión	konsesjon	57
concesionaria	konsesjonaRja	39
concesionario	konsesjonaRjo	55
concesionarios	konsesjonaRjos	14
concesiones	konsesjones	64
concha	konCa	205
conchas	konCas	64
conchinchina	konCinCina	15
conchita	konCita	14
conchitas	konCitas	5
conchuda	konCuDa	15
conciba	konsiBa	25
conciban	konsiBan	2
concibe	konsiBe	3
conciben	konsiBen	2
concibes	konsiBes	3
concibiendo	konsiBjendo	2
concibieran	konsiBjeRan	2
concibieron	konsiBjeRon	18
concibió	konsiBjo	16
concibo	konsiBo	8
conciencia	konsjensja	1148
concienciar	konsjensjaR	9
conciencias	konsjensjas	29
concienzudo	konsjensuDo	12
concienzudos	konsjensuDos	4
concierna	konsjeRna	11
concierne	konsjeRne	343
conciernen	konsjeRnen	25
concierto	konsjeRto	999
conciertos	konsjeRtos	187
concilia	konsilja	2
conciliaba	konsiljaBa	4
conciliación	konsiljasjon	13
conciliador	konsiljaDoR	6
conciliar	konsiljaR	16
conciliarlas	konsiljaRlas	2
conciliarse	konsiljaRse	2
concilio	konsiljo	48
concisa	konsisa	10
concisas	konsisas	6
conciso	konsiso	40
conciudadano	konsjuDaDano	4
conciudadanos	konsjuDaDanos	35
cónclave	koNklaBe	10
concluía	koNkluia	2
concluida	koNkluiDa	10
concluido	koNkluiDo	69
concluimos	koNkluimos	27
concluir	koNkluiR	106
concluiría	koNkluiRia	2
concluirla	koNkluiRla	6
concluirlo	koNkluiRlo	3
concluiste	koNkluiste	2
conclusión	koNklusjon	538
conclusiones	koNklusjones	242
conclusiva	koNklusiBa	2
conclusivas	koNklusiBas	2
conclusivo	koNklusiBo	4
concluya	koNkluJa	21
concluyamos	koNkluJamos	2
concluyan	koNkluJan	3
concluye	koNkluJe	69
concluyen	koNkluJen	7
concluyendo	koNkluJendo	4
concluyente	koNkluJente	63
concluyentes	koNkluJentes	47
concluyeron	koNkluJeRon	15
concluyes	koNkluJes	4
concluyo	koNkluJo	16
concluyó	koNkluJo	43
concordaba	koNkoRDaBa	11
concordaban	koNkoRDaBan	2
concordamos	koNkoRDamos	21
concordancia	koNkoRDansja	31
concordancias	koNkoRDansjas	2
concordante	koNkoRDante	4
concordantes	koNkoRDantes	2
concordar	koNkoRDaR	35
concordara	koNkoRDaRa	2
concordará	koNkoRDaRa	4
concordaría	koNkoRDaRia	2
concordarían	koNkoRDaRian	3
concordaron	koNkoRDaRon	2
concorde	koNkoRDe	11
concordemos	koNkoRDemos	4
concordia	koNkoRDja	11
concordó	koNkoRDo	9
concreción	koNkResjon	2
concreta	koNkReta	79
concretada	koNkRetaDa	2
concretado	koNkRetaDo	11
concretamente	koNkRetamente	48
concretamos	koNkRetamos	5
concretan	koNkRetan	2
concretando	koNkRetando	7
concretar	koNkRetaR	53
concretará	koNkRetaRa	6
concretaré	koNkRetaRe	2
concretarlo	koNkRetaRlo	5
concretarse	koNkRetaRse	5
concretas	koNkRetas	50
concrete	koNkRete	14
concreten	koNkReten	5
concretes	koNkRetes	2
concreto	koNkReto	334
concretó	koNkReto	10
concretos	koNkRetos	26
concubina	koNkuBina	42
concubinas	koNkuBinas	8
concuerda	koNkweRDa	247
concuerdan	koNkweRDan	107
concuerdas	koNkweRDas	16
concuerde	koNkweRDe	21
concuerden	koNkweRDen	13
concuerdo	koNkweRDo	111
concupiscencia	koNkupisensja	9
concurran	koNkuran	2
concurre	koNkure	7
concurrencia	koNkurensja	30
concurrente	koNkurente	5
concurrentemente	koNkurentemente	2
concurrentes	koNkurentes	6
concurrí	koNkuri	3
concurrían	koNkurian	2
concurrida	koNkuriDa	12
concurrido	koNkuriDo	22
concurrió	koNkurio	7
concurrir	koNkuriR	11
concurrirá	koNkuriRa	2
concursando	koNkuRsando	2
concursante	koNkuRsante	73
concursantes	koNkuRsantes	97
concursar	koNkuRsaR	23
concursará	koNkuRsaRa	2
concursarán	koNkuRsaRan	2
concurso	koNkuRso	1083
concursos	koNkuRsos	108
condado	kondaDo	1136
condados	kondaDos	77
conde	konde	833
condecoración	kondekoRasjon	22
condecoraciones	kondekoRasjones	18
condecorado	kondekoRaDo	62
condecorados	kondekoRaDos	13
condecorar	kondekoRaR	2
condecoraron	kondekoRaRon	4
condecoro	kondekoRo	2
condena	kondena	604
condenable	kondenaBle	5
condenación	kondenasjon	36
condenada	kondenaDa	247
condenadamente	kondenaDamente	59
condenadas	kondenaDas	35
condenado	kondenaDo	709
condenados	kondenaDos	292
condenamos	kondenamos	7
condenan	kondenan	48
condenando	kondenando	39
condenándolos	kondenandolos	2
condenar	kondenaR	95
condenara	kondenaRa	3
condenará	kondenaRa	21
condenaran	kondenaRan	14
condenarán	kondenaRan	22
condenarás	kondenaRas	8
condenaré	kondenaRe	3
condenaría	kondenaRia	8
condenarían	kondenaRian	9
condenarla	kondenaRla	14
condenarlo	kondenaRlo	33
condenarme	kondenaRme	18
condenarnos	kondenaRnos	7
condenaron	kondenaRon	72
condenarte	kondenaRte	16
condenas	kondenas	87
condenaste	kondenaste	18
condene	kondene	13
condené	kondene	8
condenemos	kondenemos	3
condenen	kondenen	46
condenes	kondenes	2
condeno	kondeno	24
condenó	kondeno	41
condensa	kondensa	8
condensación	kondensasjon	16
condensada	kondensaDa	16
condensadas	kondensaDas	2
condensado	kondensaDo	4
condensador	kondensaDoR	20
condensadores	kondensaDoRes	33
condensar	kondensaR	3
condensarse	kondensaRse	3
condes	kondes	8
condesa	kondesa	426
condescendencia	kondesendensja	22
condescendiente	kondesendjente	149
condescendientes	kondesendjentes	6
condestable	kondestaBle	14
condición	kondisjon	1107
condicionada	kondisjonaDa	9
condicionadas	kondisjonaDas	4
condicionado	kondisjonaDo	14
condicionados	kondisjonaDos	11
condicional	kondisjonal	777
condicionales	kondisjonales	5
condicionamiento	kondisjonamjento	10
condicionan	kondisjonan	6
condiciones	kondisjones	1175
condimentada	kondimentaDa	11
condimentadas	kondimentaDas	2
condimentado	kondimentaDo	7
condimentar	kondimentaR	2
condimentarlo	kondimentaRlo	2
condimento	kondimento	45
condimentos	kondimentos	41
condo	kondo	11
condolencia	kondolensja	7
condolencias	kondolensjas	199
condominio	kondominjo	92
condominios	kondominjos	48
condón	kondon	333
condones	kondones	370
cóndor	kondoR	70
conducción	konduksjon	76
conduce	konduse	838
condúceme	konduseme	3
conducen	kondusen	130
condúcenos	kondusenos	3
conduces	konduses	214
conducía	kondusia	276
conducíamos	kondusiamos	7
conducían	kondusian	26
conducías	kondusias	30
conducid	kondusid	2
conducida	kondusiDa	20
conducidas	kondusiDas	5
conducido	kondusiDo	112
conducidos	kondusiDos	12
conduciendo	kondusjendo	593
conduciéndolo	kondusjendolo	12
conduciéndote	kondusjendote	5
conducimos	kondusimos	43
conducir	kondusiR	1852
conducirá	kondusiRa	90
conducirán	kondusiRan	16
conducirás	kondusiRas	40
conduciré	kondusiRe	136
conduciremos	kondusiRemos	24
conduciría	kondusiRia	28
conducirías	kondusiRias	5
conducirla	kondusiRla	16
conducirlo	kondusiRlo	51
conducirlos	kondusiRlos	24
conducirnos	kondusiRnos	14
conducirse	kondusiRse	4
conducirte	kondusiRte	13
conduciste	kondusiste	2
conducta	kondukta	787
conductas	konduktas	48
conductista	konduktista	7
conductistas	konduktistas	3
conductividad	konduktiBiDad	7
conducto	kondukto	193
conductor	konduktoR	1038
conductora	konduktoRa	73
conductoras	konduktoRas	5
conductores	konduktoRes	144
conductos	konduktos	91
conductual	konduktwal	11
conduje	konduxe	132
condujera	konduxeRa	19
condujeras	konduxeRas	5
condujeron	konduxeRon	25
condujese	konduxese	2
condujimos	konduximos	27
condujiste	konduxiste	41
condujo	konduxo	183
conduzca	konduska	189
conduzcamos	konduskamos	5
conduzcan	konduskan	44
conduzcas	konduskas	44
conduzco	kondusko	211
conecta	konekta	192
conectaba	konektaBa	11
conectabais	konektaBajs	2
conectábamos	konektaBamos	5
conectaban	konektaBan	6
conectada	konektaDa	218
conectadas	konektaDas	70
conectado	konektaDo	572
conectados	konektaDos	261
conéctala	konektala	8
conéctalo	konektalo	22
conéctalos	konektalos	2
conéctame	konektame	28
conectamos	konektamos	78
conectan	konektan	77
conectando	konektando	80
conectándome	konektandome	4
conectándonos	konektandonos	3
conectándose	konektandose	6
conectándote	konektandote	4
conéctanos	konektanos	4
conectar	konektaR	251
conectara	konektaRa	7
conectará	konektaRa	12
conectáramos	konektaRamos	3
conectaran	konektaRan	5
conectarán	konektaRan	8
conectarás	konektaRas	2
conectaré	konektaRe	20
conectaremos	konektaRemos	14
conectarla	konektaRla	16
conectarle	konektaRle	3
conectarlo	konektaRlo	39
conectarlos	konektaRlos	13
conectarme	konektaRme	76
conectarnos	konektaRnos	36
conectaron	konektaRon	25
conectarse	konektaRse	67
conectarte	konektaRte	45
conectas	konektas	26
conectaste	konektaste	25
conéctate	konektate	12
conecte	konekte	50
conecté	konekte	46
conéctelo	konektelo	3
conécteme	konekteme	11
conectémonos	konektemonos	2
conectemos	konektemos	9
conecten	konekten	25
conéctenlo	konektenlo	5
conéctense	konektense	11
conectes	konektes	21
conéctese	konektese	3
conectividad	konektiBiDad	11
conecto	konekto	22
conectó	konekto	60
conector	konektoR	19
conectores	konektoRes	10
coneja	konexa	13
conejas	konexas	2
conejillo	konexijo	59
conejillos	konexijos	44
conejita	konexita	75
conejitas	konexitas	11
conejito	konexito	217
conejitos	konexitos	44
conejo	konexo	921
conejos	konexos	329
conexión	koneksjon	1593
conexiones	koneksjones	391
confabulación	komfaBulasjon	17
confabulado	komfaBulaDo	10
confabuladora	komfaBulaDoRa	6
confabulados	komfaBulaDos	10
confabulan	komfaBulan	5
confabulando	komfaBulando	7
confabular	komfaBulaR	4
confabuló	komfaBulo	2
confección	komfeksjon	23
confeccionado	komfeksjonaDo	6
confeccionamos	komfeksjonamos	2
confeccionando	komfeksjonando	4
confeccionen	komfeksjonen	3
confecciones	komfeksjones	5
confecciono	komfeksjono	3
confeccionó	komfeksjono	2
confederación	komfeDeRasjon	54
confederaciones	komfeDeRasjones	2
confederada	komfeDeRaDa	2
confederadas	komfeDeRaDas	4
confederado	komfeDeRaDo	19
confederados	komfeDeRaDos	16
conferencia	komfeRensja	1057
conferenciante	komfeRensjante	4
conferenciar	komfeRensjaR	4
conferencias	komfeRensjas	313
conferida	komfeRiDa	6
conferido	komfeRiDo	14
conferir	komfeRiR	2
confesaba	komfesaBa	6
confesado	komfesaDo	79
confesamos	komfesamos	14
confesando	komfesando	38
confesándole	komfesandole	2
confesándote	komfesandote	2
confesar	komfesaR	424
confesara	komfesaRa	35
confesará	komfesaRa	12
confesaras	komfesaRas	3
confesaré	komfesaRe	28
confesaría	komfesaRia	16
confesarle	komfesaRle	30
confesarles	komfesaRles	13
confesarlo	komfesaRlo	29
confesarme	komfesaRme	29
confesármelo	komfesaRmelo	2
confesarnos	komfesaRnos	2
confesaron	komfesaRon	13
confesarse	komfesaRse	38
confesarte	komfesaRte	94
confesártelo	komfesaRtelo	3
confesaste	komfesaste	51
confesé	komfese	65
confesemos	komfesemos	3
confesión	komfesjon	624
confesionario	komfesjonaRjo	57
confesiones	komfesjones	97
confeso	komfeso	12
confesó	komfeso	312
confesor	komfesoR	13
confesos	komfesos	3
confeti	komfeti	23
confía	komfia	1880
confiaba	komfjaBa	233
confiábamos	komfjaBamos	10
confiaban	komfjaBan	22
confiabas	komfjaBas	42
confiabilidad	komfjaBiliDad	47
confiable	komfjaBle	336
confiables	komfjaBles	73
confiada	komfjaDa	53
confiadas	komfjaDas	3
confiado	komfjaDo	273
confíado	komfiaDo	2
confiados	komfjaDos	30
confiáis	komfjais	2
confiamos	komfjamos	182
confían	komfian	178
confiando	komfjando	76
confianza	komfjansa	2143
confianzas	komfjansas	2
confiar	komfjaR	2911
confiara	komfjaRa	62
confiará	komfjaRa	25
confiáramos	komfjaRamos	8
confiaran	komfjaRan	5
confiarán	komfjaRan	10
confiaras	komfjaRas	20
confiarás	komfjaRas	13
confiaré	komfjaRe	47
confiaría	komfjaRia	80
confiaríamos	komfjaRiamos	3
confiarían	komfjaRian	7
confiarías	komfjaRias	16
confiarle	komfjaRle	30
confiarles	komfjaRles	4
confiarme	komfjaRme	14
confiarnos	komfjaRnos	6
confiaron	komfjaRon	37
confiarse	komfjaRse	12
confiársela	komfjaRsela	2
confiárselo	komfjaRselo	3
confiarte	komfjaRte	22
confías	komfias	624
confiase	komfjase	2
confiásemos	komfjasemos	2
confiaste	komfjaste	73
confidencia	komfiDensja	32
confidencial	komfiDensjal	502
confidenciales	komfiDensjales	91
confidencialidad	komfiDensjaliDad	155
confidencialmente	komfiDensjalmente	27
confidencias	komfiDensjas	26
confidente	komfiDente	63
confidentes	komfiDentes	11
confié	komfje	269
confíe	komfie	166.5
confiéis	komfjeis	2
confiemos	komfjemos	30
confíen	komfien	139
confiere	komfjeRe	20
confieren	komfjeRen	2
confíes	komfies	250
confiesa	komfjesa	128
confiésale	komfjesale	2
confiésalo	komfjesalo	14
confiesas	komfjesas	27
confiésate	komfjesate	8
confiese	komfjese	64
confiesen	komfjesen	7
confieses	komfjeses	27
confieso	komfjeso	136
configura	komfiGuRa	3
configuración	komfiGuRasjon	65
configuraciones	komfiGuRasjones	8
configuradas	komfiGuRaDas	2
configurado	komfiGuRaDo	10
configurados	komfiGuRaDos	3
configurando	komfiGuRando	3
configurar	komfiGuRaR	15
configure	komfiGuRe	4
configuré	komfiGuRe	2
configuren	komfiGuRen	2
configuró	komfiGuRo	3
confinábamos	komfinaBamos	3
confinada	komfinaDa	14
confinadas	komfinaDas	7
confinado	komfinaDo	44
confinados	komfinaDos	11
confinamiento	komfinamjento	88
confinan	komfinan	3
confinando	komfinando	2
confinarlo	komfinaRlo	3
confinarlos	komfinaRlos	2
confinaron	komfinaRon	6
confines	komfines	57
confió	komfjo	158
confío	komfio	1381
confirma	komfiRma	327
confirmaban	komfiRmaBan	2
confirmación	komfiRmasjon	351
confirmaciones	komfiRmasjones	10
confirmada	komfiRmaDa	117
confirmadas	komfiRmaDas	28
confirmado	komfiRmaDo	415
confirmados	komfiRmaDos	50
confírmame	komfiRmame	6
confirmamos	komfiRmamos	38
confirman	komfiRman	124
confirmando	komfiRmando	55
confirmar	komfiRmaR	574
confirmara	komfiRmaRa	10
confirmará	komfiRmaRa	36
confirmarán	komfiRmaRan	19
confirmarás	komfiRmaRas	3
confirmaré	komfiRmaRe	24
confirmaremos	komfiRmaRemos	8
confirmaría	komfiRmaRia	17
confirmarían	komfiRmaRian	3
confirmarla	komfiRmaRla	5
confirmarle	komfiRmaRle	4
confirmarles	komfiRmaRles	3
confirmarlo	komfiRmaRlo	103
confirmarlos	komfiRmaRlos	2
confirmarme	komfiRmaRme	7
confirmaron	komfiRmaRon	82
confirmarse	komfiRmaRse	7
confirmarte	komfiRmaRte	2
confirmártelo	komfiRmaRtelo	2
confirmas	komfiRmas	11
confirmaste	komfiRmaste	7
confirme	komfiRme	112
confirmé	komfiRme	33
confírmelo	komfiRmelo	6
confírmeme	komfiRmeme	2
confirmemos	komfiRmemos	11
confirmen	komfiRmen	47
confirmes	komfiRmes	12
confirmo	komfiRmo	43
confirmó	komfiRmo	223
confisca	komfiska	10
confiscación	komfiskasjon	19
confiscaciones	komfiskasjones	3
confiscada	komfiskaDa	19
confiscadas	komfiskaDas	22
confiscado	komfiskaDo	47
confiscados	komfiskaDos	30
confiscamos	komfiskamos	16
confiscan	komfiskan	5
confiscando	komfiskando	6
confiscar	komfiskaR	55
confiscaré	komfiskaRe	5
confiscaría	komfiskaRia	2
confiscarle	komfiskaRle	3
confiscarlo	komfiskaRlo	7
confiscaron	komfiskaRon	31
confiscas	komfiskas	2
confiscó	komfisko	32
confisqué	komfiske	9
confisquen	komfisken	7
confitado	komfitaDo	3
confitería	komfiteRia	11
confites	komfites	26
confitura	komfituRa	10
conflagración	komflaGRasjon	3
conflictivas	komfliktiBas	8
conflictivo	komfliktiBo	19
conflictivos	komfliktiBos	19
conflicto	komflikto	462
conflictos	komfliktos	174
